source,target
Brigitte Vallée,Victor Kromer
Rolf Apweiler,Victor Maojo
M. Satyanarayanan,Victor Maojo
Ilya N. Shindyalov,Victor Maojo
Mohamed Ibnkahla,Victor Maojo
José M. Sempere,Victor Mitrana
Hemant K. Jain,Victor Mitrana
Bing Zheng,Victor Mitrana
Shinji Kusumoto,Victor Mitrana
Mai Gehrke,Victor Mitrana
Marc Denecker,Victor Mitrana
Juan José Montellano-Ballesteros,Victor Neumann-Lara
Carlos José Pereira de Lucena,Victor Neumann-Lara
Gustavo Alonso,Victor Neumann-Lara
Bin Wu,Victor O. K. Li
Eivind Hovig,Victor O. K. Li
Hiroshi Murase,Victor O. K. Li
Xiao-Dong Hu,Victor O. K. Li
Casiano Rodríguez,Victor Pambuccian
Kimmen Sjölander,Victor Pambuccian
Michael N. Huhns,Victor Pambuccian
Xinwei Liu,Victor Prybutok
Saul I. Gass,Victor Prybutok
David Lorge Parnas,Victor R. Basili
Donald J. Reifer,Victor R. Basili
Guilherme Horta Travassos,Victor R. Basili
José Carlos Maldonado,Victor R. Basili
Nancy R. Mead,Victor R. Basili
Paolo Donzelli,Victor R. Basili
Shari Lawrence Pfleeger,Victor R. Basili
Shahrukh A. Irani,Victor R. Basili
Leon Crosby,Victor R. Basili
Seung-Jean Kim,Victor R. Basili
Supriya Kumar De,Victor R. Basili
Claudia V. Goldman,Victor R. Lesser
Yang Xiang 0004,Victor R. Lesser
Michele Migliore,Victor R. Lesser
Frank Hoppensteadt,Victor R. Prybutok
Bing Zheng,Victor R. Prybutok
Wei Wu,Victor R. Prybutok
Kim J. Vicente,Victor R. Prybutok
Juan de Lara,Victor R. Prybutok
Carl Kesselman,Victor Reiner
Shusaku Tsumoto,Victor Reiner
Cong Ling 0001,Victor Reiner
Evripidis Bampis,Victor Reiner
Paolo Boldi,Victor S. Frost
Dinesh G. Sarvate,Victor S. Frost
Rosario Gennaro,Victor Shoup
John M. Sullivan,Victor Shoup
Stephanie A. Guerlain,Victor Shoup
Frank Wolter,Victor Shoup
Xingfu Zou,Victor Shoup
Herbert Hamers,Victor Shoup
Carlos de M. Cordeiro,Victor Shoup
Moti Yung,Victor Shoup
Jianxin Zhou,Victor Shoup
M. P. Bekakos,Victor V. Solovyev
Dov M. Gabbay,Victor V. Solovyev
Ileana Streinu,Victor V. Solovyev
Vincent Danos,Victor V. Zyablov
Alan M. Frieze,Victor V. Zyablov
Vitaly P. Solov'ev,Victor V. Zyuban
Pitu B. Mirchandani,Victor V. Zyuban
Wei Zhuang,Victor V. Zyuban
Phokion G. Kolaitis,Victor Vianu
Thomas Schwentick,Victor Vianu
Yannis Papakonstantinou,Victor Vianu
Peter Dybjer,Victor Vianu
Alexander Felfernig,Victor Vianu
Johannes Tausch,Victor Vianu
Nikolai K. Vereshchagin,Victor Vianu
Adam Prügel-Bennett,Victor Vianu
Ron Oliver,Victor W. Marek
Marc Van Barel,Victor Y. Pan
Boleslaw Z. Kacewicz,Victor Y. Pan
Parosh Aziz Abdulla,Victor Y. Pan
Ilya Shmulevich,Victor Y. Pan
Patrick Amestoy,Victoria Interrante
Hock-Hai Teo,Victoria Interrante
Hazel Everett,Vida Dujmovic
Sue Whitesides,Vida Dujmovic
Sylvain Lazard,Vida Dujmovic
Laureano González-Vega,Vida Dujmovic
Liqing Zhang 0001,Vigyan Singhal
Ekram Hossain,Vijay K. Bhargava
Khaled Ben Letaief,Vijay K. Bhargava
Hans Dobbertin,Vijay K. Garg
Stefania Gnesi,Vijay K. Garg
Jocelyn Wishart,Vijay K. Garg
Sheila B. Banks,Vijay K. Garg
Beiliang Du,Vijay K. Garg
Rob Koper,Vijay K. Garg
Daniele Riccio,Vijay K. Garg
Robert Haskins,Vijay K. Khandelwal
João Gama,Vijay K. Khandelwal
Krishnendu Chakrabarty,Vijay K. Vaishnavi
Nageswara S. V. Rao,Vijay K. Vaishnavi
S. Sitharama Iyengar,Vijay K. Vaishnavi
Yunfeng Zhang,Vijay K. Vaishnavi
Christof Fetzer,Vijay K. Vaishnavi
Richard Jones,Vijay Kumar
Lorenzo Peretto,Vijay Kumar
Tak-Wai Chan,Vijay Kumar
Herbert G. Tanner,Vijay Kumar 0001
Arthur M. Farley,Vijay Kumar 0001
Hongyong Zhao,Vijay Kumar 0001
Ramon Doallo,Vijay Kumar 0001
Federico Fariña,Vijay Kumar 0001
Arkady B. Zaslavsky,Vijay Kumar 0002
Kaushal Chari,Vijay Kumar 0002
Harald Hempel,Vijay Kumar 0002
Henry L. W. Nuttle,Vijay Kumar 0002
Gerald Warnecke,Vijay Kumar 0002
Ganesh Gopalakrishnan,Vijay Kumar 0002
Dietrich Albert,Vijay Kumar 0002
Keshav Pingali,Vijay Menon
Neal Glew,Vijay Menon
Cédric Fournet,Vijay Menon
Fabio Alessi,Vijay Menon
Jou-Ming Chang,Vijay Menon
Calvin R. Maurer Jr.,Vijay Raghavan 0002
Jan Chomicki,Vijay Raghavan 0002
Leopoldo E. Bertossi,Vijay Raghavan 0002
Marcelo Arenas,Vijay Raghavan 0002
Xin He,Vijay Raghavan 0002
Kyung-Yong Chwa,Vijay Raghavan 0002
Stephanie M. Doane,Vijay Raghavan 0002
Maria Grazia Speranza,Vijay Raghavan 0002
Hanoch Levy,Vijay Raghavan 0002
Baba C. Vemuri,Vijay Raghavan 0002
Delin Chu,Vijay V. Vazirani
Grégoire Malandain,Vijay V. Vazirani
Clare-Marie Karat,Vijay V. Vazirani
Casiano Rodríguez,Vijay V. Vazirani
Dragan Nesic,Vijay V. Vazirani
Yanchun Zhang,Vijay Varadharajan
Benjamin Steinberg,Vijay Varadharajan
George Ioannou,Vijay Varadharajan
Shashi Shekhar,VijaySekhar Chellaboina
Ashish Ghosh,VijaySekhar Chellaboina
Rodolfo Zunino,VijaySekhar Chellaboina
Simone G. O. Fiori,VijaySekhar Chellaboina
Indrakshi Ray,Vijayalakshmi Atluri
Stephan Olariu,Vijayalakshmi Atluri
Raymond E. Levitt,Vijayalakshmi Atluri
Sangjae Lee,Vijayalakshmi Atluri
Divesh Srivastava,Vijayan K. Asari
Danièle Beauquier,Vijayan K. Asari
Hideo Saito,Vijayan K. Asari
Petros Maniatis,Vijayan K. Asari
Claude Brezinski,Vijayan K. Asari
Ruei-Chuan Chang,Vijayan Sugumaran
Erik Jan Marinissen,Vikram Iyengar
Alan T. Murray,Vikram Iyengar
João C. N. Clímaco,Vikram Iyengar
Mario Piattini,Vikram Iyengar
Charalambos D. Charalambous,Vikram Krishnamurthy
Marco Lops,Vikram Krishnamurthy
Robin J. Evans 0001,Vikram Krishnamurthy
Stefano Buzzi,Vikram Krishnamurthy
Stefano Giordani,Vikram Krishnamurthy
Russell Bent,Vikram Krishnamurthy
Felip Manyà,Vikram Krishnamurthy
Alexander Russell,Vikram Krishnamurthy
Masaru Tomita,Vikram S. Adve
Giuseppe Martinelli,Vikram S. Adve
Laureano F. Escudero,Vikraman Arvind
Adam Kalai,Vikraman Arvind
Mengchu Zhou,Vikraman Arvind
Mark J. T. Smith,Vikraman Arvind
Wolfgang Kunz,Viktor K. Decyk
Cihan H. Dagli,Viktor K. Decyk
Turhan Tunali,Viktor K. Prasanna
Bharat T. Doshi,Viktorya Aviyente
Olivier Danvy,Viljem Zumer
Richard T. Snodgrass,Viljem Zumer
David M. Pennock,Viljem Zumer
Torsten Braun,Viljem Zumer
Pascal Hitzler,Viljem Zumer
Heikki Kälviäinen,Ville Kyrki
Guohui Lin,Ville Kyrki
Serafim Batzoglou,Ville Kyrki
David S. Doermann,Ville Kyrki
Svetoslav Markov,Ville Kyrki
Bob J. Wielinga,Ville Kyrki
Ji-Ye Mao,Ville Kyrki
Hsin-Hsi Chen,Ville Lappalainen
Kevin M. Lynch,Ville Lappalainen
Arturo Carpi,Ville Lappalainen
Antonín Dvorák,Vilém Novák
Hung T. Nguyen 0002,Vilém Novák
Bruce A. Reed,Vilém Novák
Alfred O. Hero III,Vilém Novák
Eric J. Johnson,Vilém Novák
Vivek De,Vilém Novák
Masaru Tomita,Vimal K. Dubey
Kevin N. Vander Meulen,Vimal K. Dubey
Francisco R. Feito,Vimal K. Dubey
David J. Allstot,Vimal K. Dubey
Hyuckjae Lee,Vimal K. Dubey
Haranath Kar,Vimal Singh
Rossano Gaeta,Vimal Singh
Gerhard Tröster,Vimal Singh
Jiajie Zhang,Vimla L. Patel
Todd R. Johnson,Vimla L. Patel
Xiaojun Chen 0001,Vimla L. Patel
Haranath Kar,Vimla L. Patel
Jakka Sairamesh,Vimla L. Patel
Odysseas G. Koufopavlou,Vimla L. Patel
Adriano Camps,Vimla L. Patel
Philipos C. Loizou,Vince Grolmusz
A. M. Day,Vincent B. Robinson
Dieter Kratsch,Vincent Bouchitté
Haiko Müller,Vincent Bouchitté
Satish Rao,Vincent Bouchitté
Klaus Obermayer,Vincent Bouchitté
Stein W. Wallace,Vincent Bouchitté
Paul Van Dooren,Vincent D. Blondel
Betty Salzberg,Vincent D. Blondel
Valmir Carneiro Barbosa,Vincent D. Blondel
Cosimo Laneve,Vincent Danos
Prakash Panangaden,Vincent Danos
Carol L. Walker,Vincent Danos
Vasant G. Honavar,Vincent Danos
Christian Jansson,Vincent Danos
Carlo Sansone,Vincent Danos
Richard Y. Wang,Vincent G. Duffy
Vicent Cholvi,Vincent G. Duffy
Baruch Schieber,Vincent G. Duffy
Don-Lin Yang,Vincent G. Duffy
Fei-Yue Wang,Vincent John Mooney III
Ho-Won Jung,Vincent John Mooney III
Leonid Gurvits,Vincent John Mooney III
Tai-Ann Chen,Vincent K. N. Lau
Xiaohui Lin,Vincent K. N. Lau
Shi-Min Hu,Vincent K. N. Lau
Sam Kwong,Vincent K. N. Lau
Dietmar Cieslik,Vincent Moulton
Katharina T. Huber,Vincent Moulton
David O'Sullivan,Vincent Moulton
Giovanni Rinaldi,Vincent Moulton
Fausto Giunchiglia,Vincent Moulton
Ivan B. Djordjevic,Vincent Moulton
Qi Bi,Vincent Moulton
Jérôme Renault,Vincent Moulton
M. Tamer Özsu,Vincent Oria
Hans Dobbertin,Vincent Oria
Igor E. Shparlinski,Vincent Oria
Robert W. P. Luk,Vincent T. Y. Ng
Edgar Wingender,Vincent T. Y. Ng
Pak-Lok Poon,Vincent T. Y. Ng
Viviane Praz,Vincent T. Y. Ng
David Schmeidler,Vincent T. Y. Ng
Charles L. Brooks III,Vincent T. Y. Ng
Muriel Médard,Vincent W. S. Chan
David W. Binkley,Vincent W. S. Chan
Heiko Mantel,Vincent W. S. Chan
Christos Bouras,Vincenza Carchiolo
Christine Urquhart,Vincenza Carchiolo
Bart Preneel,Vincenza Carchiolo
John Kubiatowicz,Vincenza Carchiolo
John Kubiatowicz,Vincenzo Gervasi
Anthony M. Bloch,Vincenzo Gervasi
Mohsen A. Jafari,Vincenzo Gervasi
James R. Lewis,Vincenzo Gervasi
Evangelos Kranakis,Vincenzo Gervasi
Irene Castellón,Vincenzo Gervasi
Michael Krauthammer,Vincenzo Gervasi
Sándor Jenei,Vincenzo Gervasi
Antonio di Nola,Vincenzo Loia
Drago Matko,Vincenzo Loia
Markus Oesker,Vincenzo Loia
Marco Luise,Vincenzo Lottici
Wee Ser,Vincenzo Lottici
Afzal Ballim,Vincenzo Pallotta
Kostas S. Metaxiotis,Vincenzo Pallotta
Kristian Vlahovicek,Vincenzo Pallotta
Feng-Hsu Wang,Vincenzo Pallotta
Ante Graovac,Vincenzo Pallotta
Viliam Geffert,Vincenzo Parenti-Castelli
Evangelos E. Milios,Vincenzo Parenti-Castelli
Babak Hassibi,Vincenzo Parenti-Castelli
Israel Koren,Vincenzo Piuri
Wu-Sheng Lu,Vincenzo Piuri
Shibu Yooseph,Vineet Bafna
Gregg C. Vanderheiden,Vineet Bafna
Ananthram Swami,Vineet Bafna
Maria J. Avedillo,Vineet Bafna
Arogyaswami Paulraj,Vinko Erceg
Randolph L. Moses,Vinko Erceg
Bertram Ludäscher,Vinko Erceg
Fiorella de Rosis,Vinko Erceg
Kim Viborg Andersen,Vinny Cahill
Sridha Sridharan,Vinod Chandran
Andrew Postlewaite,Vinod Chandran
Philippe Bolon,Vinod Chandran
Chelsea C. White III,Vinod Chandran
Lei Xu 0001,Vinícius Amaral Armentano
Christoph Adami,Vinícius Amaral Armentano
J. Gregory Trafton,Vinícius Amaral Armentano
David C. Yen,Vinícius Amaral Armentano
Masahiko Yachida,Violet R. Syrotiuk
David Reynolds,Violet R. Syrotiuk
Pamela Zave,Violet R. Syrotiuk
Jonathon A. Chambers,Violet R. Syrotiuk
Fathy Ismail,Virendra R. Sule
Carlos F. Daganzo,Virendra R. Sule
Pravin Varaiya,Virendra R. Sule
John Lim,Virendra R. Sule
Joachim M. Buhmann,Virendra R. Sule
Knut Sølna,Virendra R. Sule
Cheryl L. Dunn,Virendra R. Sule
Samuel Matej,Virginia R. de Sa
Hee Beng Kuan Tan,Virginia R. de Sa
Tamara G. Kolda,Virginia Torczon
Peter M. Athanas,Virginia Torczon
Marie-Elisabeth Paté-Cornell,Virginia Torczon
Shuhong Gao,Virginia Torczon
Alexander Bochman,Virginia Torczon
Jirí Nedoma,Virginia Torczon
Rudolf H. Riedi,Virgílio A. F. Almeida
Andreas Blass,Virgílio A. F. Almeida
Anita Schöbel,Virgílio A. F. Almeida
Abdelhak M. Zoubir,Virgílio A. F. Almeida
Jean-Claude Bajard,Virgílio A. F. Almeida
Jesper Simonsen,Virpi Kristiina Tuunainen
Matti Rossi,Virpi Kristiina Tuunainen
Ola Henfridsson,Virpi Kristiina Tuunainen
Sirkka L. Jarvenpaa,Virpi Kristiina Tuunainen
Stamatis Vassiliadis,Virpi Kristiina Tuunainen
Koji Tochinai,Virpi Kristiina Tuunainen
Mark H. Overmars,Virpi Kristiina Tuunainen
Frank Sottile,Visa Koivunen
Jean Bacon,Visa Koivunen
Peter J. Artymiuk,Visa Koivunen
Bhargab B. Bhattacharya,Vishwani D. Agrawal
Sergio R. López-Permouth,Vishwani D. Agrawal
Sharath Pankanti,Vishwani D. Agrawal
Joshua D. Guttman,Vishwani D. Agrawal
Yehuda Roditty,Vishwani D. Agrawal
Stef Tijs,Vishwani D. Agrawal
Nikos Paragios,Visvanathan Ramesh
Terrance E. Boult,Visvanathan Ramesh
Paul Barford,Visvanathan Ramesh
Joseph Kee-Yin Ng,Visvanathan Ramesh
Juan Tejada,Visvanathan Ramesh
Tong H. Lee,Visvanathan Ramesh
Li-Ming Tseng,Visvanathan Ramesh
Gordon B. Davis,Viswanath Venkatesh
Venkataraman Ramesh,Viswanath Venkatesh
Diane M. Strong,Viswanath Venkatesh
George J. Kyparisis,Vitaly A. Strusevich
Hans Kellerer,Vitaly A. Strusevich
Mikhail Y. Kovalyov,Vitaly A. Strusevich
Juan A. Garay,Vitaly A. Strusevich
Sergio Cavalieri,Vitaly A. Strusevich
Henning Bordihn,Vitaly A. Strusevich
Domingo Morales,Vitaly A. Strusevich
Symeon Papavassiliou,Vitaly A. Strusevich
A. Chockalingam,Vitaly A. Strusevich
Robin Chapman,Vitaly I. Voloshin
Harold R. Benson,Vitaly I. Voloshin
Pier Luca Lanzi,Vitaly I. Voloshin
Hiroshi Suzuki,Vitaly I. Voloshin
Tran Cao Son,Vitaly I. Voloshin
Attila Kuba,Vito Di Gesù
Bertrand Zavidovique,Vito Di Gesù
Yves Moreau,Vito Di Gesù
Jonathon A. Chambers,Vito Di Gesù
Qing Hu,Vito Napolitano
Ran Ginosar,Vito Napolitano
Hans-Dieter Höltje,Vito Pascazio
I. V. Ramakrishnan,Vito Pascazio
John van den Hoven,Vito Pascazio
Anthony Finkelstein,Vito Pascazio
Annegret Wagler,Vittorio Maniezzo
Herman Lam,Vittorio Maniezzo
Andrea Fusiello,Vittorio Murino
Mário A. T. Figueiredo,Vittorio Murino
Tamás Roska,Vittorio Murino
Ivo Düntsch,Vivek De
Shu-Ching Wang,Vivek De
Goutam Chakraborty,Vivek De
Ian Horswill,Vivek Dua
Manoj Kumar,Vivek Jain
Matthieu Latapy,Vivek Jain
Hang Joon Kim,Vivek Jain
Jerzy A. Filar,Vivek S. Borkar
Wolfgang Utschick,Vivek S. Borkar
Marcus Schaefer,Vivek S. Borkar
Philipp Bucher,Viviane Praz
Lou van den Dries,Viviane Praz
Susanne C. Brenner,Viviane Praz
Eric Walter,Viviane Praz
Demetrios G. Sampson,Vladan Devedzic
Kinshuk,Vladan Devedzic
Shyam L. Kalla,Vladan Devedzic
Ricardo L. de Queiroz,Vladan Devedzic
Brett Stevens,Vladan Devedzic
Antonio di Nola,Vladik Kreinovich
Chin-Wang Tao,Vladik Kreinovich
G. William Walster,Vladik Kreinovich
Irina Perfilieva,Vladik Kreinovich
James J. Buckley,Vladik Kreinovich
Jürgen Wolff von Gudenberg,Vladik Kreinovich
Scott A. Starks,Vladik Kreinovich
Svetoslav Markov,Vladik Kreinovich
Vasco Brattka,Vladik Kreinovich
Vilém Novák,Vladik Kreinovich
Weldon A. Lodwick,Vladik Kreinovich
Véronique Giudicelli,Vladik Kreinovich
Herman Bruyninckx,Vladik Kreinovich
Henk Norde,Vladimir A. Emelichev
Martin Holena,Vladimir A. Emelichev
C.-C. Jay Kuo,Vladimir A. Emelichev
Don Coppersmith,Vladimir A. Emelichev
Chengshan Xiao,Vladimir A. Emelichev
Hong Pan,Vladimir B. Bajic
Judice L. Y. Koh,Vladimir B. Bajic
Tin Wee Tan,Vladimir B. Bajic
Vladimir Brusic,Vladimir B. Bajic
M. A. Abdou,Vladimir B. Bajic
Zhongfu Wu,Vladimir B. Bajic
Nahum Shimkin,Vladimir B. Bajic
L. Huang,Vladimir Batagelj
Christian Schönbach,Vladimir Brusic
Ilya Shmulevich,Vladimir Brusic
Pei-Yin Chen,Vladimir Cherkassky
Hans-Dieter Höltje,Vladimir Cuperman
Arthur W. Toga,Vladimir Cuperman
Akihiro Munemasa,Vladimir D. Tonchev
Davide Sangiorgi,Vladimir D. Tonchev
Enrico Nardelli,Vladimir Estivill-Castro
Ying Xu 0001,Vladimir Estivill-Castro
Daniel Berleant,Vladimir Estivill-Castro
Bettina Klinz,Vladimir G. Deineko
Gary MacGillivray,Vladimir G. Deineko
Jinyi Qi,Vladimir G. Deineko
Adam Prügel-Bennett,Vladimir G. Deineko
Frank S. de Boer,Vladimir G. Deineko
Roy Meshulam,Vladimir Gurvich
Gerard J. Foschini,Vladimir Gurvich
Shane Greenstein,Vladimir Gurvich
Rolf Oppliger,Vladimir Gurvich
Chris C. N. Chu,Vladimir Gurvich
Fernando Pérez-González,Vladimir Gurvich
Toby Berger,Vladimir I. Levenshtein
David B. Leake,Vladimir I. Levenshtein
Jesús Medina,Vladimir I. Levenshtein
Bruno Durand,Vladimir Kanovei
Saharon Shelah,Vladimir Kanovei
David Horn,Vladimir Kanovei
Suzanne D. Pawlowski,Vladimir Kanovei
D. T. Lee,Vladimir Kanovei
Ingunn Myrtveit,Vladimir Kotov
Roberto Merletti,Vladimir Kotov
Emmanuel Trouvé,Vladimir Kotov
Ke Liu,Vladimir Kotov
Khalil Najafi,Vladimir Kotov
James D. Currie,Vladimir L. Kharitonov
Tu Bao Ho,Vladimir L. Kharitonov
Yiu-Wing Leung,Vladimir M. Zatsiorsky
Kunihiko Fukushima,Vladimir M. Zatsiorsky
Ulf Norinder,Vladimir M. Zatsiorsky
Alain Guénoche,Vladimir Makarenkov
Sergio M. Savaresi,Vladimir Makarenkov
Cristina Urdiales,Vladimir Makarenkov
Kenneth N. McKay,Vladimir Makarenkov
Miguel Nussbaum,Vladimir Marianov
Elizabeth Scott,Vladimir Marianov
Christos Grecos,Vladimir Marianov
Maylor K. H. Leung,Vladimir N. Potapov
Graham Klyne,Vladimir N. Temlyakov
Gian Mario Maggio,Vladimir N. Temlyakov
Anis Chelbi,Vladimir N. Temlyakov
Kostas Zografos,Vladimir P. Korzhik
Marc C. Nicklaus,Vladimir Poroikov
Yulia V. Borodina,Vladimir Poroikov
Attila Gürsoy,Vladimir Poroikov
Yi-Wen Chen,Vladimir Poroikov
Shinichi Yokota,Vladimir Poroikov
Youngsong Mun,Vladimir Poroikov
Arjen Doelman,Vladimir Poroikov
Volker Rehbock,Vladimir Poroikov
Dimitrios Gunopulos,Vladimir Shpilrain
Martin Haardt,Vladimir Shpilrain
Hwan-Seung Yong,Vladimir Shpilrain
Giovanni Schembra,Vladimir Shpilrain
David Horn,Vladimir V. Rybakov
Hidemitsu Ogawa,Vladimir V. Rybakov
Yi-Min Wang,Vladimir V. Rybakov
Alejandro J. Rodríguez-Luis,Vladimir V. Rybakov
Alfons Kemper,Vladimir V. V'yugin
Takashi Ikegami,Vladimir Zwass
Braham Barkat,Vladimir Zwass
Ann M. Bisantz,Vladimir Zwass
Gabriel Curio,Vladimir Zwass
Frederik Stork,Vladimiro Sassone
Christophe Claramunt,Vladimiro Sassone
Robert C. Ward,Vladimiro Sassone
Sanjeev Arora,Vladimiro Sassone
Didier Henrion,Vladimír Kucera
Patrizio Colaneri,Vladimír Kucera
Joaquín Dopazo,Vladimír Kucera
Loÿs Thimonier,Vlady Ravelomanana
Patrick Y. K. Chau,Vlady Ravelomanana
Hamid Soltanian-Zadeh,Vlady Ravelomanana
John Strassner,Vlady Ravelomanana
Anke Meyer-Bäse,Vlady Ravelomanana
Robert D. Galliers,Vlady Ravelomanana
Yan Huang 0005,Vojislav B. Misic
Peter Willett 0002,Vojislav B. Misic
Bernhard Schölkopf,Vojislav B. Misic
Dhruv Mubayi,Vojtech Rödl
Imre Leader,Vojtech Rödl
Penny E. Haxell,Vojtech Rödl
G. Premkumar,Vojtech Rödl
Lode Nachtergaele,Vojtech Rödl
Israel Cohen,Vojtech Rödl
Chi-Sing Leung,Vojtech Rödl
Ravi Jain,Volkan Atalay
David Gefen,Volkan Atalay
Thomas Vetter,Volker Blanz
Shinichi Nakasuka,Volker Blanz
Wojciech Penczek,Volker Brendel
Markus Lohrey,Volker Diekert
Sumei Sun,Volker Diekert
Song Chun Zhu,Volker Diekert
D. K. Subramanian,Volker Diekert
Wolfgang Effelsberg,Volker Hilt
Byung Cheol Song,Volker Hilt
Hung T. Nguyen 0002,Volker Hilt
Shaun Quegan,Volker Hilt
Ho Woo Lee,Volker Luckas
Nina Mishra,Volker Luckas
Peter Benner,Volker Mehrmann
Heikki Kälviäinen,Volker Mehrmann
Khaled Day,Volker Mehrmann
Lou Caccetta,Volker Rehbock
David S. Doermann,Volker Rehbock
Federico Fariña,Volker Rehbock
Joachim M. Buhmann,Volker Roth 0001
Michael Unser,Volker Roth 0001
Hüseyin Akçay,Volker Roth 0001
Lance R. Williams,Volker Steuber
Pranay Chaudhuri,Volker Steuber
Van H. Vu,Volker Steuber
Michael Elad,Volker Steuber
Yuan-Shin Lee,Volker Steuber
Paul W. P. J. Grefen,Volker Steuber
Richard M. Karp,Volker Tresp
Duan Li 0002,Volker Tresp
Ahmed K. Elhakeem,Volker Wulf
Norman M. Sadeh,Volker Wulf
Carl Kesselman,Von Welch
Katarzyna Keahey,Von Welch
Mary R. Thompson,Von Welch
James MacGregor Smith,Von Welch
Carlos Alberola-López,Von Welch
Katsushi Inoue,Von Welch
Thierry Viéville,Von Welch
Stefano Miani,Von Welch
Hong Pan,Vwani P. Roychowdhury
P. Oscar Boykin,Vwani P. Roychowdhury
José Ramón Garitagoitia,Vwani P. Roychowdhury
Vince Grolmusz,Vwani P. Roychowdhury
Ilya Dumer,Vyacheslav V. Prelov
Sergio Verdú,Vyacheslav V. Prelov
Ya-Qiu Jin,Vyacheslav V. Prelov
Horst-Michael Gross,Vytautas Stuikys
Bert L. Hartnell,Vytautas Stuikys
Sheng-Luen Chung,Vytautas Stuikys
Robert Harrison,Véronique Giudicelli
Elio Usai,Véronique Giudicelli
Robert C. Powers,Véronique Giudicelli
Barry G. Evans,Véronique Terrier
Bhabatosh Chanda,Véronique Terrier
Margaret I. Brown,Véronique Terrier
Jon W. Mark,Véronique Terrier
Peter Jeavons,Víctor Dalmau
Peter Jonsson,Víctor Dalmau
Paavo Alku,W. Bastiaan Kleijn
Alexa T. McCray,W. Bastiaan Kleijn
Philip M. Long,W. Bastiaan Kleijn
Amit Singhal,W. Bruce Croft
David J. Harper,W. Bruce Croft
Djoerd Hiemstra,W. Bruce Croft
Dragomir R. Radev,W. Bruce Croft
Eduard H. Hovy,W. Bruce Croft
Gerhard Weikum,W. Bruce Croft
Hans-Jörg Schek,W. Bruce Croft
Hector Garcia-Molina,W. Bruce Croft
James Allan,W. Bruce Croft
Mark Sanderson,W. Bruce Croft
Michael J. Carey 0001,W. Bruce Croft
Michael Lesk,W. Bruce Croft
Norbert Fuhr,W. Bruce Croft
Philip Resnik,W. Bruce Croft
Rakesh Agrawal 0001,W. Bruce Croft
Ralph M. Weischedel,W. Bruce Croft
Richard T. Snodgrass,W. Bruce Croft
Serge Abiteboul,W. Bruce Croft
Stefano Ceri,W. Bruce Croft
Wessel Kraaij,W. Bruce Croft
Yannis E. Ioannidis,W. Bruce Croft
Richard A. Wadsworth,W. Bruce Croft
Joel W. Burdick,W. C. Benton
Camilla Schwind,W. C. Benton
Masaru Tomita,W. C. Benton
Youji Iiguni,W. C. Benton
Warren B. Powell,W. C. Benton
A. Senthil Kumar,W. C. Benton
Clare-Marie Karat,W. C. Benton
Ambuj K. Singh,W. C. Benton
Jen-Yao Chung,W. David Kelton
Ralph McKenzie,W. David Kelton
Mitsunori Ogihara,W. David Kelton
Anthony J. Yezzi,W. Eric L. Grimson
Laura Menini,W. Eric L. Grimson
K. M. M. Prabhu,W. Eric L. Grimson
Christos Faloutsos,W. Eric Wong
Cong Ling 0001,W. Eric Wong
Andrey Rzhetsky,W. John Wilbur
Michael Krauthammer,W. John Wilbur
Kwanghee Nam,W. John Wilbur
Irene Castellón,W. John Wilbur
Fernando G. Lobo,W. Kent Fuchs
Kuo-Liang Chung,W. Kent Fuchs
Varun Grover,W. Kent Fuchs
Lisa Neal,W. Neville Holmes
Adrian Dumitrescu,W. Neville Holmes
Michael Margaliot,W. Neville Holmes
Birgit Jacob,W. Neville Holmes
Ramón Bosque,W. Nick Street
David C. Fisher,W. Nick Street
David A. Siegel,W. Nick Street
Tim J. P. Hubbard,W. Nick Street
Gerhard Roth,W. Nick Street
Bryan A. Baum,W. Paul Menzel
John G. Gammack,W. Paul Menzel
H. Jerome Keisler,Wafik Boulos Lotfallah
Baining Guo,Wafik Boulos Lotfallah
Daniel A. Menascé,Wagner Meira Jr.
Rudolf H. Riedi,Wagner Meira Jr.
László Böszörményi,Wagner Meira Jr.
Eckhard Lichtenthaler,Wagner Meira Jr.
Giovanni Soda,Wagner Meira Jr.
Giorgio Delzanno,Wai Chee Shiu
Geoffrey Edwards,Wai Chee Shiu
Rohit Parikh,Wai Chee Shiu
Csilla Farkas,Wai Chee Shiu
Shin-Jia Hwang,Wai Chen
Nikolaos G. Bourbakis,Wai Chen
Ross D. Murch,Wai Ho Mow
Uwe D. Hanebeck,Wai Ho Mow
Urs Wegmüller,Wai Ho Mow
Henry M. Gladney,Wai Lam
Jean-François Cordeau,Wai Lam
Kyungwhoon Cheun,Wai Lam
Dimitri Leemans,Wai Lam
Sándor Pongor,Wai Lam
Kai-Leung Yung,Wai-Hung Ip
Lai-Su L. Yeh,Wai-Hung Ip
Ludmil Zikatanov,Wai-Hung Ip
Kostas Daniilidis,Wai-Hung Ip
Hao Li,Wai-Kei Mak
Srinivas Katkoori,Wai-Kei Mak
Byoung-Tak Zhang,Wai-Kei Mak
Antoine Lobstein,Wai-Kei Mak
Jeffrey S. Rosenschein,Wai-Kei Mak
Wenceslas Fernandez de la Vega,Wai-Ki Ching
Krzysztof R. Apt,Wai-Ki Ching
Eldon Y. Li,Waiman Cheung
Edmond Bianco,Waiman Cheung
